customer_id,customer_name,industry,segment,lifecycle_stage,health_score,health_label,renewal_date,account_owner,created_at
CUST-0001,Atlas Systems,Fintech,enterprise,live,87,healthy,2026-08-15,CSM-02,2025-04-18
CUST-0002,Harbor Group,Healthcare,strategic,live,26,at_risk,2026-09-07,CSM-03,2025-04-17
CUST-0003,Cedar Operations,Retail,mid_market,live,32,at_risk,2026-09-30,CSM-04,2025-04-16
CUST-0004,Northstar Systems,Manufacturing,enterprise,implementation,40,at_risk,2026-10-23,CSM-05,2025-04-15
CUST-0005,Meridian Group,Logistics,strategic,live,54,watch,2026-11-15,CSM-01,2025-04-14
CUST-0006,Summit Operations,Fintech,mid_market,live,49,watch,2026-12-08,CSM-02,2025-04-13
CUST-0007,Vantage Systems,Healthcare,enterprise,live,23,at_risk,2026-12-31,CSM-03,2025-04-12
CUST-0008,Orbit Group,Retail,strategic,live,80,healthy,2027-01-23,CSM-04,2025-04-11
CUST-0009,Pioneer Operations,Manufacturing,mid_market,live,35,at_risk,2027-02-15,CSM-05,2025-04-10
CUST-0010,Bluebird Systems,Logistics,enterprise,live,23,at_risk,2027-03-10,CSM-01,2025-04-09
CUST-0011,Atlas Group,Fintech,strategic,implementation,47,watch,2027-04-02,CSM-02,2025-04-08
CUST-0012,Harbor Operations,Healthcare,mid_market,live,54,watch,2027-04-25,CSM-03,2025-04-07
CUST-0013,Cedar Systems,Retail,enterprise,live,47,watch,2027-05-18,CSM-04,2025-04-06
CUST-0014,Northstar Group,Manufacturing,strategic,live,26,at_risk,2027-06-10,CSM-05,2025-04-05
CUST-0015,Meridian Operations,Logistics,mid_market,live,79,healthy,2027-07-03,CSM-01,2025-04-04
CUST-0016,Summit Systems,Fintech,enterprise,live,36,at_risk,2026-07-31,CSM-02,2025-04-03
CUST-0017,Vantage Group,Healthcare,strategic,live,32,at_risk,2026-08-23,CSM-03,2025-04-02
CUST-0018,Orbit Operations,Retail,mid_market,implementation,44,at_risk,2026-09-15,CSM-04,2025-04-01
CUST-0019,Pioneer Systems,Manufacturing,enterprise,live,58,watch,2026-10-08,CSM-05,2025-03-31
CUST-0020,Bluebird Group,Logistics,strategic,live,48,watch,2026-10-31,CSM-01,2025-03-30
CUST-0021,Atlas Operations,Fintech,mid_market,live,28,at_risk,2026-11-23,CSM-02,2025-03-29
CUST-0022,Harbor Systems,Healthcare,enterprise,live,77,healthy,2026-12-16,CSM-03,2025-03-28
CUST-0023,Cedar Group,Retail,strategic,live,33,at_risk,2027-01-08,CSM-04,2025-03-27
CUST-0024,Northstar Operations,Manufacturing,mid_market,live,27,at_risk,2027-01-31,CSM-05,2025-03-26
CUST-0025,Meridian Systems,Logistics,enterprise,implementation,43,at_risk,2027-02-23,CSM-01,2025-03-25
CUST-0026,Summit Group,Fintech,strategic,live,52,watch,2027-03-18,CSM-02,2025-03-24
CUST-0027,Vantage Operations,Healthcare,mid_market,live,46,watch,2027-04-10,CSM-03,2025-03-23
CUST-0028,Orbit Systems,Retail,enterprise,live,27,at_risk,2027-05-03,CSM-04,2025-03-22
CUST-0029,Pioneer Group,Manufacturing,strategic,live,77,healthy,2027-05-26,CSM-05,2025-03-21
CUST-0030,Bluebird Operations,Logistics,mid_market,live,30,at_risk,2027-06-18,CSM-01,2025-03-20
