document_id,customer_id,document_type,updated_at,title,body,source_url
DOC-0001,CUST-0001,implementation_plan,2026-08-31,Atlas Systems rollout plan,Fictional Atlas Systems implementation plan. Owner is Professional Services. Current archetype is healthy.,nexaflow://documents/DOC-0001
DOC-0002,CUST-0002,implementation_plan,2026-08-30,Harbor Group rollout plan,Fictional Harbor Group implementation plan. Owner is Professional Services. Current archetype is adoption_collapse.,nexaflow://documents/DOC-0002
DOC-0003,CUST-0003,implementation_plan,2026-08-29,Cedar Operations rollout plan,Fictional Cedar Operations implementation plan. Owner is Professional Services. Current archetype is ticket_cluster.,nexaflow://documents/DOC-0003
DOC-0004,CUST-0004,implementation_plan,2026-08-28,Northstar Systems rollout plan,Fictional Northstar Systems implementation plan. Owner is Professional Services. Current archetype is implementation_delay.,nexaflow://documents/DOC-0004
DOC-0005,CUST-0005,implementation_plan,2026-08-27,Meridian Group rollout plan,Fictional Meridian Group implementation plan. Owner is Professional Services. Current archetype is renewal_watch.,nexaflow://documents/DOC-0005
DOC-0006,CUST-0006,implementation_plan,2026-08-26,Summit Operations rollout plan,Fictional Summit Operations implementation plan. Owner is Professional Services. Current archetype is telemetry_gap.,nexaflow://documents/DOC-0006
DOC-0007,CUST-0007,implementation_plan,2026-08-25,Vantage Systems rollout plan,Fictional Vantage Systems implementation plan. Owner is Professional Services. Current archetype is stale_risk.,nexaflow://documents/DOC-0007
DOC-0008,CUST-0008,implementation_plan,2026-08-24,Orbit Group rollout plan,Fictional Orbit Group implementation plan. Owner is Professional Services. Current archetype is healthy.,nexaflow://documents/DOC-0008
DOC-0009,CUST-0009,implementation_plan,2026-08-23,Pioneer Operations rollout plan,Fictional Pioneer Operations implementation plan. Owner is Professional Services. Current archetype is adoption_collapse.,nexaflow://documents/DOC-0009
DOC-0010,CUST-0010,implementation_plan,2026-08-22,Bluebird Systems rollout plan,Fictional Bluebird Systems implementation plan. Owner is Professional Services. Current archetype is ticket_cluster.,nexaflow://documents/DOC-0010
DOC-0011,CUST-0011,implementation_plan,2026-08-21,Atlas Group rollout plan,Fictional Atlas Group implementation plan. Owner is Professional Services. Current archetype is implementation_delay.,nexaflow://documents/DOC-0011
DOC-0012,CUST-0012,implementation_plan,2026-08-20,Harbor Operations rollout plan,Fictional Harbor Operations implementation plan. Owner is Professional Services. Current archetype is renewal_watch.,nexaflow://documents/DOC-0012
DOC-0013,CUST-0013,implementation_plan,2026-08-19,Cedar Systems rollout plan,Fictional Cedar Systems implementation plan. Owner is Professional Services. Current archetype is telemetry_gap.,nexaflow://documents/DOC-0013
DOC-0014,CUST-0014,implementation_plan,2026-08-18,Northstar Group rollout plan,Fictional Northstar Group implementation plan. Owner is Professional Services. Current archetype is stale_risk.,nexaflow://documents/DOC-0014
DOC-0015,CUST-0015,implementation_plan,2026-08-17,Meridian Operations rollout plan,Fictional Meridian Operations implementation plan. Owner is Professional Services. Current archetype is healthy.,nexaflow://documents/DOC-0015
DOC-0016,CUST-0016,implementation_plan,2026-08-16,Summit Systems rollout plan,Fictional Summit Systems implementation plan. Owner is Professional Services. Current archetype is adoption_collapse.,nexaflow://documents/DOC-0016
DOC-0017,CUST-0017,implementation_plan,2026-08-15,Vantage Group rollout plan,Fictional Vantage Group implementation plan. Owner is Professional Services. Current archetype is ticket_cluster.,nexaflow://documents/DOC-0017
